Address;Latitude;Longitude
Jl. Metro Pondok Indah, Jakarta 12310, Indonesia;-6.2754049;106.7820697
Jl. Asia Afrika No. 8, Jakarta 10270;-6.2255782;106.7990351
Jl. Gatot Subroto No. 289, Bandung 40273;-6.9249233;107.6367009
Jl. Letjen S. Parman Kav. 21, Slipi, Jakarta 11470;-6.179206;106.79316
Jl. H.M. Daeng Patompo, Metro Tanjung Bunga, Makassar;-5.1662;119.3917
Jl. Sultan Iskandar Muda, Gandaria, Kebayoran Lama, Jakarta Selatan 12240;-6.2427261;106.7832862
Jl. Mayjend Sungkono Kav. 89, Surabaya, 60189, Indonesia;-7.2930221;112.7193354
Jl. IR. Soekarno, Madegondo, Grogol, Sukoharjo, Central Java 57552;-7.6013818;110.8137556
Jl. Puri Agung, Puri Indah, Kembangan Selatan, Jakarta Barat 11610;-6.1878371;106.7332137
Jl. Alternatif Cibubur, Harjamukti, Cimanggis, Kota Depok, Jawa Barat 1645;-6.3752651;106.902028
